bloc-base,BLOC Base (modules robotiques mobiles),bloc-base-s,BLOC Base version S,"Module de base avec emplacement compatible robot au choix, systeme d'automatisme pour la flexibilite, detection automatique du poste de travail, armoire electrique de pilotage, interconnexion multipoint, 1 systeme de bridage, emplacement baie robot. Dossier technique, montage, cablage, programmation et livraison inclus (kit pour deux postes a distribuer).",4500,module
bloc-base,BLOC Base (modules robotiques mobiles),bloc-base-m,BLOC Base version M,"Idem version S, gabarit intermediaire adapte a un robot ou une application de taille moyenne.",6000,module
bloc-base,BLOC Base (modules robotiques mobiles),bloc-base-l,BLOC Base version L,"Idem version S, gabarit large adapte a un robot ou une application de plus grande taille.",8700,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-plate,BLOC Plate - plateau tournant multipositions,"Module equipe d'un plateau tournant (4 a 12 positions) pour le positionnement des pieces a traiter : station d'accueil mecanique, systeme de referencement, electro-aimant de bridage. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",16000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-plate-specifique,KIT Specifique Plate - etude des posages,"Etude et fourniture specifique des posages/accessoires du module BLOC Plate en fonction du besoin client. Dossier technique, etude, montage, cablage, programmation et livraison inclus.",,prestation
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-2dvision,BLOC 2DVision - devracage 2D sur convoyeur,"Chargement d'une piece client par devracage 2D sur convoyeur : tremie de distribution + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",29000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-3dvision,BLOC 3DVision - devracage 3D en vrac,"Chargement d'une piece client par devracage 3D : camera de vision 3D + emplacement pour le contenant des pieces, transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",57000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-accuplate,BLOC AccuPlate - chargement ou dechargement,"Module de convoyage de plateaux avec 1 systeme d'accumulation (convoyeur de 2 m + 1 ascenseur a plateau) pour une autonomie accrue. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",21000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-accuplate-mixte,BLOC AccuPlate Mixte - chargement et dechargement,"Module de convoyage de plateaux avec 2 systemes d'accumulation (convoyeur de 3 m + 2 ascenseurs a plateau) : les pieces sont presentees au robot puis rerangees. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",33000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-flexibowl,BLOC FlexiBowl - devracage 2D sur bol rotatif,"Bol rotatif + tremie vibrante + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",39500,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-asyril,BLOC Asyril - devracage 2D flexible (pieces <= 40 mm),"Systeme Asyril (pieces jusqu'a 40 mm) + tremie vibrante + camera de vision 2D transmettant les points de prise au robot du BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",39000,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-conveyor,BLOC Conveyor - convoyeur d'arrivee (2 m),"Convoyeur de 2 m integre sur un module, permettant l'acheminement des pieces deposees par le systeme client jusqu'au BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",7900,module
bloc-modules,BLOC Modules (a ajouter a un BLOC Base),bloc-specifique,BLOC Specifique - application sur mesure,"Module adapte a une application specifique client (gravure, assemblage, controle d'aspect par vision, depose d'etiquette...). Dossier technique, montage, cablage, programmation et livraison inclus. A ajouter a un BLOC Base S, M ou L.",,module
kits-bloc-base,KITS pour BLOC Base,bloc-kit-box,KIT Box - posage carton (2 emplacements),"Deux emplacements sur le module de base pour la mise en place de deux cartons vides ou autres contenants. Dossier technique, montage, cablage, programmation et livraison inclus.",1800,piece
kits-bloc-base,KITS pour BLOC Base,bloc-kit-support,KIT Support - posage pieces,"Dispositif de posage concu pour les pieces du client, integre directement au module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.",1600,piece
kits-bloc-base,KITS pour BLOC Base,bloc-kit-conveyor,KIT Conveyor - convoyeur sur BLOC Base (2 m),"Convoyeur de 2 m integre sur le module BLOC Base, permettant aux pieces d'etre deposees par le systeme client ou par le robot. Dossier technique, montage, cablage, programmation et livraison inclus.",7900,piece
kits-bloc-base,KITS pour BLOC Base,bloc-kit-lock,KIT Lock - bridage mecanique (1 poste),"Systeme mecanique avec station d'accueil, referencement et electro-aimant de bridage a installer sur le module de base, avec prise de communication. Dossier technique, montage, cablage, programmation et livraison inclus.",2400,piece
kits-bloc-base,KITS pour BLOC Base,bloc-kit-dock,KIT Dock - referencement devant poste,"Systeme mecanique de referencement a installer sur la machine du client, avec prise de communication. Dossier technique, montage, cablage, programmation et livraison inclus.",1750,piece
kits-bloc-base,KITS pour BLOC Base,bloc-kit-visioncal,KIT VisionCal - recalage automatique des trajectoires,"Camera de vision + TAG de precision pour deux postes de travail : recalage automatique des reperes et trajectoires du robot au demarrage. Dossier technique, montage, cablage, programmation et livraison inclus.",8000,piece
kits-prehenseur-bloc,KITS Prehenseur (BLOC Base),bloc-kit-aspi-mousse,KIT Aspi Mousse - aspiration par mousse,"Prehenseur d'aspiration par mousse pour cartons fermes. Dossier technique, montage et cablage inclus.",4000,piece
kits-prehenseur-bloc,KITS Prehenseur (BLOC Base),bloc-kit-aspi-ventouse,KIT Aspi Ventouse - aspiration par ventouse,"Prehenseur d'aspiration par ventouse pour cartons fermes. Dossier technique, montage et cablage inclus.",3500,piece
kits-prehenseur-bloc,KITS Prehenseur (BLOC Base),bloc-kit-pincepneu,KIT PincePneu - pince pneumatique double,"Prehenseur avec systeme de double pince pour la prise de 2 cartons ouverts. Dossier technique, montage et cablage inclus.",2500,piece
kits-prehenseur-bloc,KITS Prehenseur (BLOC Base),bloc-kit-pince,KIT Pince - pince electrique deux mors,"Prehenseur a pince electrique deux mors. Dossier technique, montage, cablage et essai inclus.",3400,piece
kits-prehenseur-bloc,KITS Prehenseur (BLOC Base),bloc-kit-changetool,KIT ChangeTool - changeur d'outil automatique,"Changeur d'outil automatique sur le robot, compatible avec deux prehenseurs de votre choix (avec leur support), systeme mecanique de posage sur BLOC Base. Dossier technique, montage, cablage et essai inclus.",7100,piece
kits-securite-bloc,KITS Securite (BLOC Base),bloc-kit-laserbloc,KIT LaserBloc - radar de securite (module),"Radar de securite integre dans un module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.",4500,piece
kits-securite-bloc,KITS Securite (BLOC Base),bloc-kit-2laserbloc,KIT 2LaserBloc - 2 radars de securite (module),"Deux radars de securite integres dans un module BLOC Base. Dossier technique, montage, cablage, programmation et livraison inclus.",7500,piece
kits-securite-bloc,KITS Securite (BLOC Base),bloc-kit-lasermate,KIT LaserMate - radar de securite (poste de travail),"Radar de securite integre sur le poste de travail du client, a associer au KIT Lock. Dossier technique, montage, cablage, programmation et livraison inclus.",4000,piece
kits-securite-bloc,KITS Securite (BLOC Base),bloc-kit-securebloc-m,KIT Secure Bloc M - carterisation,"Mise en securite d'un module mobile par carterisation en profile (assemblage, decoupe, element en mouvement...) : mecanique de carterisation + gache de porte. Dossier technique, montage, cablage et essai inclus.",2500,piece
kits-securite-bloc,KITS Securite (BLOC Base),bloc-kit-barrierbloc,KIT Barrier Bloc - carterisation + barriere immaterielle,"Securisation d'un module mobile par carterisation en profile et barriere immaterielle qui se rearme automatiquement lors du depot d'une piece. Dossier technique, montage, cablage et essai inclus.",7900,piece
